pub_date,opinion_type_id,opinion_type,qmt_code
3/8/2023,1,无保留,601068.SH
3/8/2023,1,无保留,300796.SZ
3/8/2023,1,无保留,605090.SH
3/8/2023,1,无保留,301172.SZ
3/8/2023,1,无保留,605377.SH
3/8/2023,1,无保留,301179.SZ
3/8/2023,1,无保留,688592.SH
3/8/2023,6,未经审计,688529.SH
3/8/2023,6,未经审计,688076.SH
3/8/2023,1,无保留,688502.SH
3/8/2023,1,无保留,688562.SH
3/9/2023,1,无保留,000001.SZ
3/9/2023,1,无保留,600050.SH
3/9/2023,1,无保留,002056.SZ
3/9/2023,1,无保留,603166.SH
3/9/2023,1,无保留,300896.SZ
3/9/2023,1,无保留,301386.SZ
3/9/2023,1,无保留,001376.SZ
3/10/2023,1,无保留,000408.SZ
3/10/2023,1,无保留,000739.SZ
3/10/2023,1,无保留,600321.SH
3/10/2023,1,无保留,002667.SZ
3/10/2023,1,无保留,300354.SZ
3/10/2023,1,无保留,603606.SH
3/10/2023,1,无保留,603929.SH
3/10/2023,1,无保留,603103.SH
3/10/2023,1,无保留,300750.SZ
3/10/2023,1,无保留,600989.SH
3/10/2023,1,无保留,001205.SZ
3/10/2023,1,无保留,688479.SH
3/10/2023,1,无保留,603153.SH
3/10/2023,1,无保留,688334.SH
3/11/2023,1,无保留,000063.SZ
3/11/2023,1,无保留,000795.SZ
3/11/2023,1,无保留,000915.SZ
3/11/2023,1,无保留,600063.SH
3/11/2023,1,无保留,600113.SH
3/11/2023,1,无保留,600211.SH
3/11/2023,1,无保留,600255.SH
3/11/2023,1,无保留,600433.SH
3/11/2023,1,无保留,600665.SH
3/11/2023,1,无保留,600963.SH
3/11/2023,1,无保留,002014.SZ
3/11/2023,1,无保留,603169.SH
3/11/2023,1,无保留,603881.SH
3/11/2023,1,无保留,603303.SH
3/11/2023,1,无保留,603093.SH
3/11/2023,1,无保留,603595.SH
3/11/2023,1,无保留,301071.SZ
3/11/2023,1,无保留,688621.SH
3/11/2023,1,无保留,688786.SH
3/13/2023,6,未经审计,000695.SZ
3/14/2023,1,无保留,600237.SH
3/14/2023,1,无保留,600470.SH
3/14/2023,1,无保留,600523.SH
3/14/2023,1,无保留,600732.SH
3/14/2023,1,无保留,605339.SH
3/14/2023,1,无保留,605189.SH
3/14/2023,1,无保留,601059.SH
3/14/2023,1,无保留,001380.SZ
3/14/2023,1,无保留,688203.SH
3/14/2023,1,无保留,688531.SH
3/15/2023,1,无保留,000048.SZ
3/15/2023,1,无保留,000050.SZ
3/15/2023,1,无保留,000062.SZ
3/15/2023,1,无保留,600356.SH
3/15/2023,6,未经审计,600415.SH
3/15/2023,1,无保留,600705.SH
3/15/2023,1,无保留,600765.SH
3/15/2023,1,无保留,600800.SH
3/15/2023,1,无保留,600976.SH
3/15/2023,1,无保留,600973.SH
3/15/2023,1,无保留,002190.SZ
3/15/2023,1,无保留,002514.SZ
3/15/2023,1,无保留,002560.SZ
3/15/2023,2,无保留带解释性说明,300330.SZ
3/15/2023,1,无保留,603186.SH
3/15/2023,1,无保留,603393.SH
3/15/2023,1,无保留,002916.SZ
3/15/2023,1,无保留,605178.SH
3/15/2023,1,无保留,601138.SH
3/15/2023,1,无保留,605366.SH
3/15/2023,1,无保留,688586.SH
3/15/2023,1,无保留,301314.SZ
3/15/2023,1,无保留,301391.SZ
3/15/2023,1,无保留,301141.SZ
3/15/2023,1,无保留,001324.SZ
3/15/2023,1,无保留,001373.SZ
3/15/2023,1,无保留,603172.SH
3/15/2023,1,无保留,001282.SZ
3/16/2023,1,无保留,000663.SZ
3/16/2023,1,无保留,600038.SH
3/16/2023,1,无保留,600316.SH
3/16/2023,1,无保留,600372.SH
3/16/2023,1,无保留,600423.SH
3/16/2023,1,无保留,600862.SH
3/16/2023,1,无保留,601318.SH
3/16/2023,1,无保留,002179.SZ
3/16/2023,1,无保留,603319.SH
3/16/2023,1,无保留,603335.SH
3/16/2023,1,无保留,603813.SH
3/16/2023,1,无保留,603105.SH
3/16/2023,1,无保留,002947.SZ
3/16/2023,1,无保留,003816.SZ
3/16/2023,1,无保留,688597.SH
3/16/2023,1,无保留,688303.SH
3/16/2023,1,无保留,301127.SZ
3/16/2023,1,无保留,301203.SZ
3/16/2023,1,无保留,688535.SH
3/16/2023,6,未经审计,688526.SH
3/16/2023,1,无保留,688343.SH
3/17/2023,1,无保留,600660.SH
3/17/2023,1,无保留,002105.SZ
3/17/2023,1,无保留,002379.SZ
3/17/2023,1,无保留,002805.SZ
3/17/2023,1,无保留,300281.SZ
3/17/2023,1,无保留,603860.SH
3/17/2023,1,无保留,002777.SZ
3/17/2023,1,无保留,002865.SZ
3/17/2023,1,无保留,002912.SZ
3/17/2023,1,无保留,300765.SZ
3/17/2023,1,无保留,605299.SH
3/17/2023,1,无保留,301299.SZ
3/17/2023,1,无保留,688569.SH
3/17/2023,1,无保留,688508.SH
3/17/2023,1,无保留,688301.SH
3/17/2023,1,无保留,688195.SH
3/17/2023,1,无保留,301046.SZ
3/17/2023,1,无保留,301281.SZ
3/17/2023,1,无保留,301192.SZ
3/17/2023,6,未经审计,688799.SH
3/17/2023,1,无保留,688484.SH
3/18/2023,1,无保留,000026.SZ
3/18/2023,1,无保留,000029.SZ
3/18/2023,1,无保留,001914.SZ
3/18/2023,1,无保留,000407.SZ
3/18/2023,1,无保留,000608.SZ
3/18/2023,1,无保留,000708.SZ
3/18/2023,1,无保留,600168.SH
